device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw),CPU1 Frequency [kHz],CPU2 Frequency [kHz],CPU3 Frequency [kHz],CPU4 Frequency [kHz],CPU5 Frequency [kHz],CPU6 Frequency [kHz],CPU7 Frequency [kHz],CPU8 Frequency [kHz],Memory Usage [KB]
temp,https-www-skysports-com,chrome,0.0,0.0,795382.5503355706,796542.2818791945,800214.7651006713,798410.7382550336,808719.4630872483,828537.6383094504,835715.4362416108,839351.3513513515,5290351.275167786
temp,https-www-tinder-com,chrome,0.0,0.0,661619.444948304,663732.5594050426,667415.9259931073,667020.6421186287,672648.6486486486,698594.5945945946,831697.2972972974,831697.2972972974,5415366.416107383
temp,https-www-pornhub-com,chrome,0.0,0.0,672128.0,671803.7046979866,677495.4093959732,678338.1476510067,685918.9261744966,696238.3892617449,811327.5704697985,811425.5033557046,5370886.005548098
temp,https-www-amazon-com,chrome,794.4233333333333,76378.18783783785,1102903.8446153163,1101003.3868171917,1105260.7839627706,1108308.7567567567,1129948.5405405406,1162003.027027027,956538.8108108109,958578.1621621622,5435360.734343749
temp,https-www-mit-edu,chrome,0.0,0.0,668287.030654816,660972.9729729729,664864.8648648649,666097.2972972974,679329.7297297297,688924.8758963045,810443.2432432432,805610.5901820188,5364414.6486486485
temp,https-www-wikipedia-com,chrome,3532.3231292517007,44001.30612244897,1199076.3243243245,1202095.265735534,1205574.4603664067,1208283.5479775078,1213689.5338291312,1231888.2344884265,982906.2320230105,971346.6100534173,5433624.673045528
temp,https-www-paypal-com,chrome,0.0,0.0,690555.7046979866,687785.2348993289,692359.7315436242,699230.6185380011,709790.5314710684,729606.9653546163,812621.8030110648,812649.6644295302,5408879.073825504
temp,https-www-theatlantic-com,chrome,61800.76133839318,109494.12833209922,1123455.016660496,1118788.3006293967,1126272.6397630507,1135528.7671232875,1138218.437615698,1155832.3583857832,1027208.0514397541,1036386.2454570868,5429460.795075897
temp,https-www-cic-gc-ca,chrome,0.0,0.0,673739.5973154362,671613.4228187919,672386.5771812081,673837.9829493924,680886.4864864864,708000.0,807308.1081081083,808345.9459459459,5425069.583892617
temp,https-udemy-com,chrome,28086.621010820436,95580.49287768798,1026718.3125599233,1027192.1106697712,1032887.7687987947,1043229.3658402959,1060575.373236543,1069551.239556225,1175823.585810163,1176353.047527736,5427743.53330594
temp,https-www-pcgamer-com,chrome,0.0,0.0,746494.5277100034,745612.8267689091,749227.4660160333,744732.6315789474,746383.1578947367,771649.6842105263,827195.7894736842,827195.7894736842,5358866.608051586
temp,https-www-stackoverflow-com,chrome,0.0,0.0,708387.750566692,713728.4238410597,713472.0,715456.0,729344.0,741376.0,839744.0,839744.0,5360398.885209713
temp,https-www-nbcnews-com,chrome,0.0,0.0,726111.6633411935,725174.4864864865,735751.7141302376,736130.0199528388,738067.2592055142,763232.6500997641,819655.0698349356,815918.1570832577,5320749.657657658
temp,https-www-wordpress-org,chrome,78786.1156462585,88454.2074829932,1176802.6475455046,1181061.224489796,1187004.0816326533,1199151.0204081633,1211102.0408163266,1234024.4897959183,935836.7346938777,934530.612244898,5450365.319176319
temp,https-archive-org,chrome,0.0,0.0,673682.1621621622,676000.8648648649,676027.6756756757,676089.0984944677,680430.6910937784,700475.6756756757,808719.4630872483,803919.4630872483,5314074.657477478
temp,https-www-youtube-com,chrome,77950.97564260603,91936.3970004109,1108923.199709777,1112710.2588686482,1115446.9798657717,1125536.1183399535,1132815.7786604576,1147298.8357759211,965964.3336529243,967023.9382239381,5403075.652011139
temp,https-www-kickstarter-com,chrome,64191.70343959731,80872.68200037286,1050791.0514541387,1050696.1968680092,1056286.3534675615,1073686.3534675615,1093975.3914988816,1118972.972972973,935828.8288288289,937495.4954954955,5401661.507923191
temp,https-www-bookmyshow-com,chrome,0.0,0.0,662876.5405405406,659763.0270270271,665644.108108108,668925.4054054054,683049.5135135135,691729.2972972973,817266.1621621622,812530.1621621622,5358738.233873874
temp,https-alibabacloud-com,chrome,0.0,0.0,689987.4362416108,689355.1677852349,696105.2348993289,698609.3959731543,709111.4093959732,730179.865771812,803292.5811717758,803292.5811717758,5309464.634451902
temp,https-finance-yahoo-com,chrome,12401.062535437537,72679.93543281044,1021275.6756756757,1016246.9098469098,1015322.0185220186,1025875.0330750331,1048428.0476280478,1087489.3970893968,888361.065961066,886804.3092043092,5401602.657626158
